team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
UCF,Big 12,145,160,-9.25,0,7,2,5,1,3,8,4
UCLA,Big Ten,2,1,17.04,19,1,1,0,5,0,6,0
UConn,Big East,1,4,11.42,9,0,5,0,7,0,13,0
UMass Lowell,America East,348,316,-19.52,0,0,0,0,0,3,5,18
UMBC,America East,186,196,-10.98,1,1,0,0,1,2,12,11
UMKC,Summit League,286,298,-17.84,0,2,0,5,0,4,4,12
UNC Asheville,Big South,333,292,-17.44,0,0,0,0,0,1,9,17
UNC Greensboro,SoCon,280,233,-13.83,0,2,0,0,0,1,10,13
UNC Wilmington,CAA,327,348,-22.18,0,1,0,0,0,2,6,21
UNLV,Mountain West,96,116,-6.66,0,0,0,6,2,4,19,1
USC,Big Ten,22,26,3.07,5,12,2,0,2,1,8,0
USC Upstate,Big South,343,284,-17.16,0,3,0,0,0,1,9,16
UT Arlington,WAC,237,287,-17.32,0,1,1,2,0,3,11,15
UT Rio Grande Valley,Southland,200,164,-9.38,0,2,0,1,0,4,18,6
Utah,Big 12,58,54,-1.11,2,3,4,8,1,1,11,0
Utah St.,Mountain West,291,327,-20.61,0,1,0,1,0,7,5,15
Utah Tech,WAC,258,305,-18.21,0,0,0,1,0,3,8,16
Utah Valley,WAC,184,210,-12.14,0,0,0,1,2,3,12,10
UTEP,CUSA,271,243,-14.34,0,1,0,2,0,2,11,12
UTSA,American,114,179,-10.12,0,2,2,2,1,4,14,7
Valparaiso,MVC,357,363,-29.52,0,1,0,0,0,5,0,26
Vanderbilt,SEC,7,7,9.80,8,4,6,0,5,0,8,0
VCU,Atlantic 10,240,274,-16.50,0,4,0,6,0,4,8,9
Vermont,America East,81,95,-4.59,0,1,0,0,2,1,23,5
Villanova,Big East,35,35,1.49,2,3,2,3,5,1,16,0
Virginia,ACC,36,52,-0.73,3,5,2,5,3,0,11,1
Virginia Tech,ACC,40,34,1.82,3,6,4,2,5,1,11,0
Wagner,NEC,330,253,-15.03,0,1,0,2,0,0,11,14
Wake Forest,ACC,128,136,-7.83,0,7,0,6,1,1,13,3
Washington,Big Ten,25,23,4.28,6,7,2,3,2,0,11,0
Washington St.,WCC,227,310,-18.39,0,2,0,6,1,9,8,8
Weber St.,Big Sky,253,303,-18.04,0,1,0,5,1,3,7,13
West Georgia,ASUN,235,183,-10.32,0,1,0,2,0,2,16,8
West Virginia,Big 12,18,14,6.66,3,3,10,3,3,0,11,0
Western Carolina,SoCon,354,354,-23.63,0,1,0,2,0,1,0,22
Western Illinois,OVC,90,70,-2.93,0,1,0,0,3,0,20,4
Western Kentucky,CUSA,295,299,-17.85,0,2,0,2,0,1,7,16
Western Michigan,MAC,266,258,-15.20,0,2,0,1,0,4,9,12
Wichita St.,American,263,320,-19.91,0,1,0,3,1,1,6,18
William & Mary,CAA,218,211,-12.18,0,0,0,2,1,2,15,10
Winthrop,Big South,305,230,-13.75,0,3,0,1,0,0,12,13
Wisconsin,Big Ten,85,69,-2.93,2,12,1,3,0,1,10,1
Wofford,SoCon,234,197,-11.08,0,1,0,1,0,2,13,9
Wright St.,Horizon,293,317,-19.69,0,1,0,0,0,1,8,20
Wyoming,Mountain West,250,269,-15.91,0,1,0,4,1,4,8,11
Xavier,Big East,199,220,-12.69,0,3,0,3,2,5,9,8
Yale,Ivy League,272,273,-16.34,0,1,0,3,0,6,7,10
Youngstown St.,Horizon,135,118,-6.69,0,1,0,0,1,2,21,6
